t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1544624738,9999,96.813616,86.497522,52.060203,40.791591,events/second
1544624739,10099,96.842973,86.497522,52.060203,40.791591,events/second
1544624740,10199,96.873938,87.577121,52.852579,41.119614,events/second
1544624741,10299,96.905804,87.577121,52.852579,41.119614,events/second
1544624742,10399,96.933947,87.577121,52.852579,41.119614,events/second
1544624743,10499,96.959842,87.577121,52.852579,41.119614,events/second
1544624744,10599,96.990778,87.577121,52.852579,41.119614,events/second
1544624745,10699,97.013885,88.570400,53.631857,41.445820,events/second
1544624746,10799,97.044268,88.570400,53.631857,41.445820,events/second
1544624747,10899,97.067269,88.570400,53.631857,41.445820,events/second
1544624748,10999,97.093878,88.570400,53.631857,41.445820,events/second
1544624749,11099,97.122503,88.570400,53.631857,41.445820,events/second
1544624750,11199,97.144868,89.484260,54.398255,41.770220,events/second
1544624751,11299,97.169042,89.484260,54.398255,41.770220,events/second
1544624752,11399,97.192689,89.484260,54.398255,41.770220,events/second
1544624753,11499,97.215841,89.484260,54.398255,41.770220,events/second
1544624754,11599,97.239869,89.484260,54.398255,41.770220,events/second
1544624755,11699,97.262507,90.325052,55.151985,42.092821,events/second
1544624756,11799,97.285513,90.325052,55.151985,42.092821,events/second
1544624757,11899,97.308179,90.325052,55.151985,42.092821,events/second
1544624758,11999,97.329332,90.325052,55.151985,42.092821,events/second
1544624759,12099,97.351603,90.325052,55.151985,42.092821,events/second
1544624760,12199,97.372661,91.098618,55.893258,42.413636,events/second
1544624761,12299,97.396092,91.098618,55.893258,42.413636,events/second
1544624762,12398,97.405518,91.098618,55.893258,42.413636,events/second
